fire_num,feature_cd,fire_link,fire_stat,fire_sz_ha,fire_year,load_date,objectid,source,track_date,versn_num,longitude,latitude,coordinate
K71535,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71535,Out,11248.4,2023,2023-09-16,2194018,Non-corrected airborne GPS,2023-09-16,2023091601,-122.254,50.755,"[-122.254, 50.755]"
G80291,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80291,Under Control,29584.3,2023,2023-10-04,2193868,Non-corrected airborne GPS,2023-10-04,2023100401,-121.244,56.588,"[-121.244, 56.588]"
G80875,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80875,Under Control,19136.5,2023,2023-09-13,2193874,Derived from satellite imagery,2023-09-13,2023091301,-120.842,57.251,"[-120.842, 57.251]"
C11290,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11290,Under Control,2784.7,2023,2023-07-16,2193630,Non-corrected ground GPS,2023-07-16,2023071601,-122.921,52.805,"[-122.921, 52.805]"
V82603,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V82603,Out,17.5,2023,2023-09-16,2194245,Hand sketch of any type,2023-09-16,2023091601,-126.257,50.196,"[-126.257, 50.196]"
V80326,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80326,Out,3.8,2023,2023-11-07,2194238,Hand sketch of any type,2023-11-07,2023110701,-126.202,50.447,"[-126.202, 50.447]"
V12722,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V12722,Under Control,1517.7,2023,2023-08-31,2194203,Non-corrected airborne GPS,2023-08-31,2023083101,-121.259,49.11,"[-121.259, 49.11]"
N10754,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10754,Out,1.7,2023,2023-06-23,2194032,Non-corrected ground GPS,2023-06-13,2023061301,-115.186,49.274,"[-115.186, 49.274]"
G41422,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41422,Out,780.0,2023,2023-08-18,2193752,Processed IR image,2023-07-18,2023071801,-124.794,53.977,"[-124.794, 53.977]"
V33029,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V33029,Out,563.0,2023,2023-09-27,2194214,Non-corrected ground GPS,2023-09-21,2023092101,-122.668,50.413,"[-122.668, 50.413]"
N52847,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N52847,Out,98.5,2023,2023-08-21,2194086,Non-corrected airborne GPS,2023-08-21,2023082101,-117.768,49.475,"[-117.768, 49.475]"
G11293,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11293,Out,2263.9,2023,2023-07-27,2193718,Derived from satellite imagery,2023-07-26,2023072601,-123.821,53.47,"[-123.821, 53.47]"
V33258,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V33258,Out,969.6,2023,2023-10-04,2194216,Non-corrected airborne GPS,2023-10-03,2023100301,-122.75,50.623,"[-122.75, 50.623]"
N23403,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N23403,Out,1.3,2023,2023-10-27,2194051,Non-corrected ground GPS,2023-10-10,2023101001,-116.085,50.556,"[-116.085, 50.556]"
N12546,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N12546,Out,2298.2,2023,2023-08-24,2194039,Hand sketch of any type,2023-08-23,2023082301,-114.968,50.181,"[-114.968, 50.181]"
C50023,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50023,Out,10.4,2023,2023-04-18,2193684,Non-corrected ground GPS,2023-04-11,2023041101,-123.186,52.036,"[-123.186, 52.036]"
V82990,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V82990,Out,119.9,2023,2023-09-11,2194249,Non-corrected airborne GPS,2023-09-01,2023090101,-125.767,49.941,"[-125.767, 49.941]"
N53056,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N53056,Out,5.1,2023,2023-08-30,2194088,Non-corrected airborne GPS,2023-08-30,2023083001,-117.574,50.687,"[-117.574, 50.687]"
K53294,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K53294,Out,1116.2,2023,2023-09-20,2193998,Non-corrected airborne GPS,2023-09-20,2023092001,-119.918,49.77,"[-119.918, 49.77]"
C12204,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C12204,Out,0.7,2023,2023-11-21,2193645,Digitized other,2023-11-21,2023112101,-123.762,53.418,"[-123.762, 53.418]"
C22374,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C22374,Out,1.5,2023,2023-08-10,2193652,Non-corrected ground GPS,2023-08-01,2023080101,-122.089,51.883,"[-122.089, 51.883]"
K42454,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42454,Out,1.1,2023,2023-09-19,2193977,Non-corrected ground GPS,2023-08-04,2023080401,-118.996,50.512,"[-118.996, 50.512]"
C11405,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11405,Out,1282.4,2023,2023-07-17,2193636,Non-corrected airborne GPS,2023-07-17,2023071701,-125.033,52.72,"[-125.033, 52.72]"
R92525,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R92525,Out,1171.7,2023,2023-09-02,2194193,Non-corrected airborne GPS,2023-09-01,2023090101,-132.843,59.469,"[-132.843, 59.469]"
C51981,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51981,Out,1406.5,2023,2023-08-04,2193704,Non-corrected ground GPS,2023-07-29,2023072902,-123.454,52.188,"[-123.454, 52.188]"
N10281,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10281,Out,10.0,2023,2023-05-18,2194031,Non-corrected ground GPS,2023-05-17,2023051701,-115.14,49.197,"[-115.14, 49.197]"
VA3107,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA3107,Out,48.1,2023,2023-09-05,2194279,Hand sketch of any type,2023-09-05,2023090501,-127.171,52.928,"[-127.171, 52.928]"
C11326,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11326,Out,35.8,2023,2023-07-12,2193634,Non-corrected airborne GPS,2023-07-12,2023071201,-124.017,52.781,"[-124.017, 52.781]"
G73347,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73347,Under Control,38.2,2023,2023-09-24,2193847,Non-corrected airborne GPS,2023-09-23,2023092301,-122.262,55.732,"[-122.262, 55.732]"
G60603,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60603,Under Control,720.5,2023,2023-10-05,2193791,Non-corrected airborne GPS,2023-10-05,2023100501,-123.134,55.9,"[-123.134, 55.9]"
R11244,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11244,Under Control,8044.1,2023,2023-07-26,2194114,Non-corrected airborne GPS,2023-07-26,2023072601,-125.529,54.231,"[-125.529, 54.231]"
G60861,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60861,Being Held,18195.4,2023,2023-09-17,2193800,Derived from satellite imagery,2023-09-17,2023091701,-124.273,55.436,"[-124.273, 55.436]"
G61226,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61226,Out,0.0,2023,2023-07-09,2193806,Non-corrected airborne GPS,2023-07-08,2023070802,-123.471,55.106,"[-123.471, 55.106]"
C11499,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11499,Out,7864.0,2023,2023-08-03,2193641,Non-corrected ground GPS,2023-08-03,2023080301,-123.612,53.16,"[-123.612, 53.16]"
G90949,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90949,Being Held,5278.1,2023,2023-07-09,2193899,Hand sketch of any type,2023-07-09,2023070901,-126.951,59.623,"[-126.951, 59.623]"
G90259,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90259,Out,1.3,2023,2023-05-15,2193887,Non-corrected ground GPS,2023-05-05,2023050501,-122.659,58.847,"[-122.659, 58.847]"
